iso,language,eng_orig,roughness,trans,translation_quality_control,translation_comment
nl,Dutch,woolly,0,wollig,good,NA
nl,Dutch,crumpled,3.1,verfrommeld,good,NA
nl,Dutch,sandy,3.9,zanderig,good,NA
nl,Dutch,dented,2.4,gedeukt,good,NA
nl,Dutch,icy,-4.3,ijzig,good,NA
nl,Dutch,scratchy,5,krassend,good,NA
nl,Dutch,ceramic,-2.5,keramisch,good,NA
nl,Dutch,crusty,2.9,korstig,good,NA
nl,Dutch,frayed,-0.8,rafelig,good,NA
nl,Dutch,gelatinous,-4.2,gelatineachtig,good,NA
nl,Dutch,bald,-4.1,kaal,good,NA
nl,Dutch,corroded,3.5,gecorrodeerd,OK,"""verroest"" would be better"
nl,Dutch,creamy,-4.8,romig,good,NA
nl,Dutch,chalky,-1.1,krijtachtig,good,NA
nl,Dutch,flat,-2.7,vlak,OK,"""plat"" would be better; went for the noun sense"
nl,Dutch,etched,2.8,ge√´tst,OK,"assuming Unicode error here: should be ""geëtst"""
nl,Dutch,slimy,-5.2,slijmerig,good,NA
nl,Dutch,oily,-6.2,olieachtig,good,NA
nl,Dutch,lubricated,-6.2,gesmeerd,good,NA
nl,Dutch,crumbly,3.2,kruimelig,good,NA
nl,Dutch,perforated,0.4,geperforeerd,good,NA
nl,Dutch,scaly,1.9,geschubd,good,NA
nl,Dutch,dusty,-0.8,stoffig,good,NA
nl,Dutch,gluey,-2.9,lijmerig,OK,low frequency form and possible Anglicism
nl,Dutch,gooey,-4.9,slissend,bad,"totally off (should be ""slijmerig"")"
nl,Dutch,cracked,3.5,gebarsten,good,NA
nl,Dutch,ragged,3.3,haveloos,OK,"should be ""gerafeld"" (went for metaphorical use)"
nl,Dutch,fibrous,2.3,vezelig,good,NA
nl,Dutch,silky,-5.9,zijdeachtig,good,NA
nl,Dutch,satiny,-5.3,satijnachtige,good,NA
nl,Dutch,grainy,3.9,korrelig,good,NA
nl,Dutch,rocky,4.8,rotsachtig,good,NA
nl,Dutch,hairy,0,harig,good,NA
nl,Dutch,woven,-0.2,geweven,good,NA
nl,Dutch,prickly,5.2,stekelig,good,NA
nl,Dutch,feathered,-4.6,gevederde,OK,"should be ""gevederd"" (agreement)"
nl,Dutch,thorny,5.8,netelig,good,NA
nl,Dutch,glassy,-4.3,glazig,good,NA
nl,Dutch,waxy,-3.6,wasachtig,good,NA
nl,Dutch,greasy,-5.1,vettig,good,NA
it,Italian,velvety,-5.3,vellutato,good,NA
it,Italian,bubbly,-3.3,pieno di bolle,good,"there is also an adjective with the same root, ""bolloso"", but it's mainly used for the face (covered with blisters) or in botany"
it,Italian,lacy,-1.4,merlettato,good,"in It., it recalls shape more than touch, but the translation is fine "
it,Italian,abrasive,6.3,abrasivo,good,NA
it,Italian,bony,2.5,ossuto,good,NA
it,Italian,slippery,-6.2,scivoloso,good,NA
it,Italian,rough,6.2,ruvido,good,NA
it,Italian,coarse,5.4,grossolano,good,"in the tactile sense of ""coarse"", ""ruvido"" would be a better translation, but ""grossolano"" is also OK"
it,Italian,jagged,6.3,frastagliato,good,NA
it,Italian,wooden,1.3,di legno,OK,"an adjective with the same root is also available: ""legnoso"" ('having the consistence of wood'), and might be here a better translation than ""di legno"" ('(made) of wood')"
it,Italian,polished,-5.3,lucidato,OK,"the adjective ""lucido"" could be used"
it,Italian,sequined,3.3,lustrini,OK,"should be ""lustrinato"" (not common, but present in dictionaries); ""lustrini"" is a noun, in plural form"
it,Italian,crinkly,2.7,crespi,OK,"should be ""crespo"" (""crespi"" is the plural form)"
it,Italian,crumpled,3.1,spiegazzato,good,"""spiegazzato"" is for cloth and paper only, but there's no translation that keeps all meanings of ""crumpled"", so it's OK"
it,Italian,sandy,3.9,sabbioso,good,NA
it,Italian,dented,2.4,ammaccato,good,NA
it,Italian,gravelly,4.1,ghiaioso,good,NA
it,Italian,frayed,-0.8,sfilacciato,good,NA
it,Italian,gelatinous,-4.2,gelatinoso,good,NA
it,Italian,bald,-4.1,calvo,good,NA
it,Italian,corroded,3.5,corroso,good,NA
it,Italian,creamy,-4.8,cremoso,good,NA
it,Italian,chalky,-1.1,gessoso,good,NA
it,Italian,varnished,-3.7,verniciato,good,NA
it,Italian,oily,-6.2,oleoso,good,NA
it,Italian,lubricated,-6.2,lubrificata,OK,"should be ""lubrificato"" (""lubrificata"" is the feminine form)"
it,Italian,papery,-3.2,cartaceo,good,NA
it,Italian,perforated,0.4,perforato,good,"""perforato"" refers to the presence of holes; when applied e.g. to stamps, ""perforated"" would be translated with ""dentellato"""
it,Italian,scaly,1.9,squamoso,good,NA
it,Italian,dusty,-0.8,polveroso,good,NA
it,Italian,gluey,-2.9,colloso,good,NA
it,Italian,cracked,3.5,screpolato,good,"""screpolato"" is slightly more specific (it's mainly for skin and lips, less often for other surfaces)"
it,Italian,ragged,3.3,cencioso,OK,"""cencioso"" is very specific, it only refers to people wearing ragged clothes (and has nothing to do with touch); ""lacero"" (torn, in shreds) would be slightly better"
it,Italian,crisp,2,croccante,good,"""croccante"" is more specific (for food only), but there is no translation encompassing all senses of ""crisp"""
it,Italian,fibrous,2.3,fibroso,good,NA
it,Italian,smooth,-6.9,liscio,good,NA
it,Italian,slick,-5.5,chiazza di petrolio,bad,"should be ""liscio"" or, since ""liscio"" is already there, ""levigato"" would also be fine (""chiazza di petrolio"" is a noun translating ""oil slick"")"
it,Italian,bristly,4.4,setoloso,good,NA
it,Italian,grainy,3.9,granuloso,good,NA
it,Italian,rocky,4.8,roccioso,good,NA
it,Italian,barbed,6.3,spinato,OK,"""spinato"" is only used in ""filo spinato"" (barbed wire); for a more general translation of ""barbed"", ""dentellato"" would be better"
it,Italian,hairy,0,peloso,good,NA
it,Italian,feathered,-4.6,piumato,good,NA
it,Italian,blunt,0.5,smussato,good,NA
it,Italian,thorny,5.8,spinoso,good,NA
it,Italian,waxy,-3.6,cereo,OK,"should be ""ceroso"", same root (containing / made of wax), because ""cereo"" is only used with reference to the color (white) of wax (""volto cereo"" 'pale face')"
it,Italian,greasy,-5.1,unto,OK,"""untuoso"", same root, would be slightly better"
pl,Polish,velvety,-5.3,aksamitny,good,aksamitny
pl,Polish,ribbed,3.4,≈ºebrowany,good,żebrowany
pl,Polish,gnarled,4.4,wykrzywiony,good,wykrzywiony
pl,Polish,lacy,-1.4,koronkowy,good,koronkowy
pl,Polish,abrasive,6.3,≈õcierny,good,ścierny
pl,Polish,bony,2.5,ko≈õcisty,good,kościsty
pl,Polish,slippery,-6.2,≈õliski,good,śliski
pl,Polish,lumpy,2.9,grudkowaty,good,grudkowaty
pl,Polish,knobby,2.6,guzowaty,good,guzowaty
pl,Polish,coarse,5.4,zgrubny,good,zgrubny
pl,Polish,jagged,6.3,szczerbaty,good,szczerbaty
pl,Polish,textured,0.8,teksturowane,OK,teksturowany
pl,Polish,metallic,-1.9,metaliczny,good,metaliczny
pl,Polish,shiny,-4.2,b≈ÇyszczƒÖcy,good,błyszczący
pl,Polish,painted,-3,namalowany,OK,"pomalowany (just wrong aspect/grammar, but the correct root, right?) yes"
pl,Polish,fine,-5.2,w porzƒÖdku,bad,delikatny
pl,Polish,rippled,3.1,pluskoczƒÖcy,bad,pomarszczony
pl,Polish,matted,0.3,ko≈Çtunowaty,good,kołtunowaty
pl,Polish,woolly,0,we≈Çnisty,good,wełnisty
pl,Polish,beaded,3,zroszony,good,zroszony
pl,Polish,crumpled,3.1,zmiƒôty,OK,pomięty
pl,Polish,sandy,3.9,piaszczysty,good,piaszczysty
pl,Polish,dented,2.4,wgnieciony,good,wgnieciony
pl,Polish,gravelly,4.1,≈ºwirowy,good,żwirowy
pl,Polish,crusty,2.9,skorupiasty,good,skorupiasty
pl,Polish,frayed,-0.8,postrzƒôpiony,good,postrzępiony
pl,Polish,gelatinous,-4.2,galaretowaty,good,galaretowaty
pl,Polish,bald,-4.1,≈Çysy,good,łysy
pl,Polish,corroded,3.5,skorodowane,OK,"skorodowany  (just wrong aspect/grammar, but the correct root, right?) yes"
pl,Polish,creamy,-4.8,kremowy,good,kremowy
pl,Polish,chalky,-1.1,kredowy,good,kredowy
pl,Polish,flat,-2.7,mieszkanie,bad,płaski
pl,Polish,etched,2.8,wytrawiony,bad,"wyryty (just wrong aspect/grammar, but the correct root, right?) I am unsure if wytrawiony would be used here as im unfamiliar with it :)"
pl,Polish,grimy,-1.2,umorusany,good,umorusany
pl,Polish,slimy,-5.2,≈õluzowaty,good,śluzowaty
pl,Polish,harsh,5.5,szorstki,good,szorstki
pl,Polish,oily,-6.2,oleisty,good,oleisty
pl,Polish,lubricated,-6.2,smarowane,OK,"nasmarowany (just wrong aspect/grammar, but the correct root, right?)"
pl,Polish,perforated,0.4,perforowany,good,perforowany
pl,Polish,scaly,1.9,≈Çuskowaty,good,łuskowaty
pl,Polish,dusty,-0.8,zakurzony,good,zakurzony
pl,Polish,crinkled,2.4,marszczone,OK,"pomarszczony (just wrong aspect/grammar, but the correct root, right?)"
pl,Polish,rugged,4,chropowaty,good,chropowaty
pl,Polish,ragged,3.3,obdarty,good,obdarty
pl,Polish,crisp,2,chrupiƒÖcy,good,crhupiący
pl,Polish,fibrous,2.3,w≈Ç√≥knisty,good,włóknisty
pl,Polish,silky,-5.9,jedwabisty,good,jedwabisty
pl,Polish,slick,-5.5,przysiek,bad,zgrabny
pl,Polish,bristly,4.4,szczeciniasty,good,szczeciniasty
pl,Polish,grainy,3.9,ziarnisty,good,ziarnisty
pl,Polish,rocky,4.8,skalisty,good,skalisty
pl,Polish,barbed,6.3,kolczasty,good,kolczasty
pl,Polish,hairy,0,w≈Çochaty,OK,owłosiony (włochaty is OK but sort of informal)
pl,Polish,furry,-2.8,futrzany,good,futrzany
pl,Polish,woven,-0.2,tkane,OK,"tkany (just wrong aspect/grammar, but the correct root, right?)"
pl,Polish,blunt,0.5,tƒôpy,good,tępy
pl,Polish,glassy,-4.3,szklisty,good,szklisty
