Language,ISO_code,Dataset,Family,Branch,Area,Continent,Longitude,Latitude
Nung-Fengshan,zgn,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,107.18,23.68
Nung-Lazhai,zgn,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,107.18,23.68
Zhuang-Longzhou,zzj,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,,
Langja Buyang,yzg,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,,
Ecun Buyang,yln,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,,
Sanchong Kelao,giq,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,,
Qau Kelao,gqu,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,,
Mahasu Pahari (Kotghari dialect),bfz,IDS,Indo-European,Dardic (Northwestern Indo-Aryan),Indic,S/SE Asia,,
Bulang,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,100,22
Bulang-2,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,100,22
Bulang-3,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,100,22
Keme (Kemie variety),mml,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,,
Xu,huo,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Wa,wbm,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,99,23
Rumai,rbb,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Prai,pry,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Paliu,ply,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Phong,pnx,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Ahlao Th,thm,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,104.23,17.77
Pear,pcb,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Kasong,syo,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Samre,sxm,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,103.98,13.48
Iduh,tyh,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Mang Ch,zng,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Kme-2 (Kemie variety),mml,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,,
Pusing,bgk,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,,
Widi/Cheangwa,NA,Chirila,Pama-Nyungan,Southwestern Pama-Nyungan,S Australia,Australia,,
Mary River and Bunya Bunya Country,NA,Chirila,Pama-Nyungan,Waka-Kabic,S Australia,Australia,,
Natal Downs,NA,Chirila,Pama-Nyungan,Maric,S Australia,Australia,,
Yugarabul,NA,Chirila,Pama-Nyungan,Durubalic,S Australia,Australia,,
Ng'goi Mwoi,NA,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia,,
Coonambella,NA,Chirila,Pama-Nyungan,Dyirbalic,N Australia,Australia,,
Pikwurrung,NA,Chirila,Pama-Nyungan,Southeastern Pama-Nyungan,S Australia,Australia,,
Upper Clarence River,NA,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia,,
Kaado,NA,Reflex,Nilo-Saharan,Songhay,African Savannah,Africa,,
Gevia,NA,Reflex,Benue-Congo,Bantoid,S Africa,Africa,,
Yoómbe,NA,Reflex,Benue-Congo,Bantoid,S Africa,Africa,,
Nembe,NA,Reflex,Benue-Congo,Ijoid,African Savannah,Africa,,
Cuoi,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,,
LiHa,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,,
LiHa,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,,
Tum,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,,
Kha Poong,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,,
Malieng,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,,
KNB (a Pearic variety),NA,IDS,Austroasiatic,Pearic,Southeast Asia,S/SE Asia,,
Nedebang,nec,CLICS,Timor-Alor-Pantar,,,,124.192,-8.28776
Geser-Gorom,ges,CLICS,Austronesian,,,,130.701,-3.8016
Judeo-Tat,jdt,CLICS,Indo-European,,,,48.264749,42.068306
Funai Helong,heg,CLICS,Austronesian,,,,123.38,-10.26
Zinacantán Tzotzil,tzo,CLICS,Mayan,,,,-92.7388,16.6362
Chadong,cdy,CLICS,Tai-Kadai,,,,109.96041,25.23532
Tii,txq,CLICS,Austronesian,,,,122.963,-10.8425
"Tetun, Suai",tdt,CLICS,Austronesian,,,,125.58,-8.58
Rembong,reb,CLICS,Austronesian,,,,120.97,-8.53
"Central Lembata, Kalikasa",lvu,CLICS,Austronesian,,,,123.44,-8.47
"Reta, Pura",ret,CLICS,Timor-Alor-Pantar,,,,124.36,-8.22481
Lamboya,lmy,CLICS,Austronesian,,,,119.344,-9.70434
Busoa,bup,CLICS,Austronesian,,,,122.622,-5.60524
Togo_Kan,dtm,CLICS,Dogon,,,,-3.82,13.63
Kotos Amarasi,aaz,CLICS,Austronesian,,,,123.96,-10.22
"Kula, Lantoka",tpg,CLICS,Timor-Alor-Pantar,,,,125.004,-8.2384
"Nage, East",nxe,CLICS,Austronesian,,,,121.31,-8.70513
Batuley,bay,CLICS,Austronesian,,,,134.784314,-5.814412
Uruangnirin,urn,CLICS,Austronesian,,,,132.745,-3.45498
Waerana,wrx,CLICS,Austronesian,,,,120.70299,-8.78645
Ceq Wong,cwg,CLICS,Austroasiatic,,,,102.081,3.83331
Bankan_Tey,dbw,CLICS,Dogon,,,,-2.92,15.06
Jinsha Dai,tiz,CLICS,Miao-Yao,,,,106.682,26.7238
Phom,nph,CLICS,Sino-Tibetan,,,,94.7476,26.4715
Welaun,wlh,CLICS,Austronesian,,,,98.32,27.05
Blagar,beu,CLICS,Timor-Alor-Pantar,,,,124.251,-8.31787
Kaera,jka,CLICS,Timor-Alor-Pantar,,,,124.02,-8.33
Naueti,nxa,CLICS,Austronesian,,,,126.741,-8.70733
Nanga,nzz,CLICS,Dogon,,,,-3.02,14.49
Ben_Tey,dbt,CLICS,Dogon,,,,-2.94,14.78
Yanda_Dom,dym,CLICS,Dogon,,,,-3.15,14.63
Maonan,mmd,CLICS,Tai-Kadai,,,,108.024,25.0169
Oroqen,orh,CLICS,Tungusic,,,,125.017,50.6319
Waima'a,wmh,CLICS,Austronesian,,,,126.317,-8.53416
Maram,nma,CLICS,Sino-Tibetan,,,,94.2205,25.4378
Liangmai,njn,CLICS,Sino-Tibetan,,,,93.542,25.16
Puiron,nbu,CLICS,Sino-Tibetan,,,,93.7869,25.098
Lio,ljl,CLICS,Austronesian,,,,121.832,-8.68615
Rengma,nre,CLICS,Sino-Tibetan,,,,94.6853,26.1178
Fataluku,ddg,CLICS,Timor-Alor-Pantar,,,,127.08,-8.49464
Dhao,nfa,CLICS,Austronesian,,,,122.658,-10.8098
"Kemak, Kailaku",kem,CLICS,Austronesian,,,,125.159,-9.00299
"Alorese, Baranusa",aol,CLICS,Austronesian,,,,124.264,-8.20382
Mombo,dmb,CLICS,Dogon,,,,-3.664799,14.376155
Tiranige_Diga,tde,CLICS,Dogon,,,,-3.7,14.76
Tommo_So,dto,CLICS,Dogon,,,,-3.28,14.756
Konyak,nbe,CLICS,Sino-Tibetan,,,,95.06,26.68
Sangtam,nsa,CLICS,Sino-Tibetan,,,,94.6279,25.8581
Ghari,gri,CLICS,Austronesian,,,,159.917,-9.4791
Asumboa,aua,CLICS,Austronesian,,,,166.499,-11.2969
Bonerate,bna,CLICS,Austronesian,,,,121.792,-7.37657
Kumbewaha,xks,CLICS,Austronesian,,,,123.154,-5.34485
Lasalimu,llm,CLICS,Austronesian,,,,123.129,-5.23602
Lokuru,tqu,CLICS,Central Solomons,,,,157.296,-8.58405
Konda,knd,CLICS,South Bird's Head Family,,,,132.06,-1.82635
Nosu,iii,CLICS,Sino-Tibetan,,,,102.121,28.1947
Dela,row,CLICS,Austronesian,,,,122.85,-10.85
"Kokoda, Negeri Besar",xod,CLICS,South Bird's Head Family,,,,132.45,-2.13
Bunoge,dgb,CLICS,Dogon,,,,-3.49,14.43
Galolen,gal,CLICS,Austronesian,,,,125.959,-8.61074
Jenaama,bze,CLICS,Mande,,,,-4,15.5
Kwara'ae,kwf,CLICS,Austronesian,,,,160.804,-8.75779
Langalanga,lgl,CLICS,Austronesian,,,,160.741,-8.81936
Dori'o,dor,CLICS,Austronesian,,,,160.897,-9.11536
Fataleka,far,CLICS,Austronesian,,,,160.861,-8.59041
Keni.unn,vun,CLICS,Atlantic-Congo,,,,37.58,-3.43
Yi (Mile),yix,CLICS,Sino-Tibetan,,,,103.713,24.6009
"Kabola, Monbang",klz,CLICS,Timor-Alor-Pantar,,,,124.539,-8.17316
Ghanongga,ghn,CLICS,Austronesian,,,,156.552,-8.02035
Lungga,lga,CLICS,Austronesian,,,,156.573,-8.17469
Komodo,kvh,CLICS,Austronesian,,,,119.477,-8.64518
Rongga,ror,CLICS,Austronesian,,,,120.702,-8.84604
"Pancana, Lawele",pnp,CLICS,Austronesian,,,,122.968,-5.29587
"Cia-Cia, Masiri",cia,CLICS,Austronesian,,,,122.79,-5.68
Faghani,faf,CLICS,Austronesian,,,,161.662,-10.4479
"Kaburi, Benawa",uka,CLICS,South Bird's Head Family,,,,132.528,-1.92547
Nembao,utp,CLICS,Austronesian,,,,166.498,-11.2958
Kahe.unn,hka,CLICS,Benue-Congo,,,,37.5759,-3.51412
Kalao,kly,CLICS,Austronesian,,,,120.995,-7.31213
Xumi,sxg,CLICS,Sino-Tibetan,,,,100.4,28.3895
Romagnol-std,rgn,CLICS,Indo-European,,,,11.7189,44.2349
Totoró,ttk,CLICS,Barbacoan,,,,-76.6379,2.55149
Kalamang,kgv,CLICS,West Bomberai,,,,132.678,-3.47037
Moli,vrs,CLICS,Austronesian,,,,156.66,-6.83
Poleo,tlr,CLICS,Austronesian,,,,160.23,-9.77
Wotu,wtw,CLICS,Austronesian,,,,120.9,-2.59593
Laiyolo,lji,CLICS,Austronesian,,,,120.48,-6.46
Kia,kji,CLICS,Austronesian,,,,158.753,-7.74311
Oroha,ora,CLICS,Austronesian,,,,161.513,-9.7386
Malango,mln,CLICS,Austronesian,,,,160.118,-9.61383
Kahua,agw,CLICS,Austronesian,,,,162.191,-10.6963
Santa Ana,stn,CLICS,Austronesian,,,,162.3,-10.83
Lengo,lgr,CLICS,Austronesian,,,,160.42,-9.56425
Mbirao,brr,CLICS,Austronesian,,,,160.52,-9.73716
Kamaru 2,kgx,CLICS,Austronesian,,,,123.045,-5.15696
Ergong (Danba),ero,CLICS,Sino-Tibetan,,,,101.72,31.1026
Vaghua,tva,CLICS,Austronesian,,,,156.542,-6.68712
Reefs,ntu,CLICS,Austronesian,,,,165.835,-10.6771
Kusaghe,ksg,CLICS,Austronesian,,,,157.463,-8.04056
Marovo,mvo,CLICS,Austronesian,,,,157.747,-8.37943
Nduke,nke,CLICS,Austronesian,,,,157.064,-7.97768
Simbo,sbb,CLICS,Austronesian,,,,156.541,-8.26947
Ughele,uge,CLICS,Austronesian,,,,157.341,-8.45725
Vangunu,mpr,CLICS,Austronesian,,,,157.997,-8.66826
Ririo,rri,CLICS,Austronesian,,,,156.92,-6.88927
"South Mambae, Letefoho",mgm,CLICS,Austronesian,,,,125.475,-9.19552
Kulisusu,vkl,CLICS,Austronesian,,,,123.045,-4.58411
Kaimbulawa,zka,CLICS,Austronesian,,,,122.538,-5.65447
Vano,vnk,CLICS,Austronesian,,,,166.7984,-11.6107
Muya [Minyak],mvm,CLICS,Sino-Tibetan,,,,102.205,29.8226
Dadu'a,ilu,CLICS,Austronesian,,,,125.9,-7.84
Mbaengguu,bvd,CLICS,Austronesian,,,,160.771,-8.49014
Naxi,nxq,CLICS,Sino-Tibetan,,,,100,27.5
Guiqiong,gqi,CLICS,Sino-Tibetan,,,,102.128,30.4803
Namuyi,nmy,CLICS,Sino-Tibetan,,,,101.898,28.5909
So'a,ssq,CLICS,Austronesian,,,,121.04764,-8.6778
Ende,end,CLICS,Austronesian,,,,121.555,-8.70998
Daai,dao,CLICS,Sino-Tibetan,,,,93.7853,20.7347
Ngmün,mwq,CLICS,Sino-Tibetan,,,,94.3929,20.289
"Kioko, Bonegunu",ues,CLICS,Austronesian,,,,122.95,-4.99
Tshona (Mama),twm,CLICS,Sino-Tibetan,,,,91.374,27.7855
Tebul_Ure,dtu,CLICS,Dogon,,,,-3.1,14.66
Kais,kzm,CLICS,South Bird's Head Family,,,,132.312,-1.78077
Anuta,aud,CLICS,Austronesian,,,,169.85,-11.61
Dhadhaje,bgt,CLICS,Austronesian,,,,159.802,-8.47948
Patipi,oni,CLICS,Austronesian,,,,132.06,-2.76
Kilokaka,jaj,CLICS,Austronesian,,,,159.255,-8.18719
Rikou,rgu,CLICS,Austronesian,,,,123.311,-10.5515
"Awyu, South (Syiagha Dialect)",aws,CLICS,Nuclear Trans New Guinea,,,,139.538,-7.36301
"Kemberano, Kalitami",bzp,CLICS,South Bird's Head Family,,,,132.988,-2.24495
Mbaelelea,bvc,CLICS,Austronesian,,,,160.721,-8.41627
Atsi [Zaiwa],atb,CLICS,Sino-Tibetan,,,,98.3643,24.1726
Bauro (1),bxa,CLICS,Austronesian,,,,161.863,-10.5826
Puragi,pru,CLICS,South Bird's Head Family,,,,132.304,-2.05779
Queyu (Yajiang) [Zhaba],qvy,CLICS,Sino-Tibetan,,,,100.813,30.3113
Matu,hlt,CLICS,Sino-Tibetan,,,,92.83,23.312
Ersu,ers,CLICS,Sino-Tibetan,,,,102.213,29.2867
Northern Pashto,pbu,CLICS,Indo-European,,,,71.33,34
Punjabi,pnb,CLICS,Indo-European,,,,,
