Dataset,language.id,language.name,glottocode,latitude,longitude,family,concept,form_id,value,form
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,SMOOTH,halenepal-Thakali-1676_smooth-2,cyahm-pa,cyahm-pa
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,ROUGH,halenepal-Chepang-1677_rough-1,cek.ʔo,cek.ʔo
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,ROUGH,halenepal-Gurung-1677_rough-1,khāsroq,khāsroq
halenepal,halenepal-JirelTibetan,Tibetan (Jirel),jire1238,27.6931,86.3201,Sino-Tibetan,ROUGH,halenepal-JirelTibetan-1677_rough-1,syāgārok,syāgārok
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,ROUGH,halenepal-Kaike-1677_rough-1,khokhsorhopā,khokhsorhopā
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,ROUGH,halenepal-Khaling-1677_rough-1,ma-solāemim,ma-solāemim
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,ROUGH,halenepal-Kham-1677_rough-1,katala̩ matala̩o,katala̩_matala̩o
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,ROUGH,halenepal-Magar-1677_rough-1,us-ke,us-ke
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,ROUGH,halenepal-Nepali-1677_rough-1,khasro,khasro
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,ROUGH,halenepal-Newar-1677_rough-1,chyāka:,chyāka:
halenepal,halenepal-SherpaTibetan,Tibetan (Sherpa),sher1255,27.674,86.9994,Sino-Tibetan,ROUGH,halenepal-SherpaTibetan-1677_rough-1,rhyokpuq,rhyokpuq
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,ROUGH,halenepal-Sunwar-1677_rough-1,mā silsil,mā_silsil
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,ROUGH,halenepal-SahuTamang-1677_rough-1,'phoppa,'phoppa
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,ROUGH,halenepal-Thakali-1677_rough-1,kyohng-pa,kyohng-pa
halenepal,halenepal-Chepang,Chepang,chep1245,27.7206,84.9017,Sino-Tibetan,ROUGH,halenepal-Chepang-1677_rough-2,cek.ʔo,cek.ʔo
halenepal,halenepal-Gurung,Gurung,guru1261,27.41687,86.28988,Sino-Tibetan,ROUGH,halenepal-Gurung-1677_rough-2,khāsroq,khāsroq
halenepal,halenepal-JirelTibetan,Tibetan (Jirel),jire1238,27.6931,86.3201,Sino-Tibetan,ROUGH,halenepal-JirelTibetan-1677_rough-2,syāgārok,syāgārok
halenepal,halenepal-Kaike,Kaike,kaik1246,28.853,83.1384,Sino-Tibetan,ROUGH,halenepal-Kaike-1677_rough-2,khokhsorhopā,khokhsorhopā
halenepal,halenepal-Khaling,Khaling,khal1275,27.3912,87.5053,Sino-Tibetan,ROUGH,halenepal-Khaling-1677_rough-2,ma-solāemim,ma-solāemim
halenepal,halenepal-Kham,Kham,parb1234,None,None,Sino-Tibetan,ROUGH,halenepal-Kham-1677_rough-2,katala̩ matala̩o,katala̩_matala̩o
halenepal,halenepal-Magar,Magar,maga1261,None,None,Sino-Tibetan,ROUGH,halenepal-Magar-1677_rough-2,us-ke,us-ke
halenepal,halenepal-Nepali,Nepali,nepa1254,28.0,85.0,Indo-European,ROUGH,halenepal-Nepali-1677_rough-2,khasro,khasro
halenepal,halenepal-Newar,Newar,newa1246,27.2614,84.9577,Sino-Tibetan,ROUGH,halenepal-Newar-1677_rough-2,chyāka:,chyāka:
halenepal,halenepal-SherpaTibetan,Tibetan (Sherpa),sher1255,27.674,86.9994,Sino-Tibetan,ROUGH,halenepal-SherpaTibetan-1677_rough-2,rhyokpuq,rhyokpuq
halenepal,halenepal-Sunwar,Sunwar,sunw1242,27.5201,86.2476,Sino-Tibetan,ROUGH,halenepal-Sunwar-1677_rough-2,mā silsil,mā_silsil
halenepal,halenepal-SahuTamang,Tamang (Sahu),west2415,28.0239,85.0563,Sino-Tibetan,ROUGH,halenepal-SahuTamang-1677_rough-2,'phoppa,'phoppa
halenepal,halenepal-Thakali,Thakali,thak1245,28.7014,83.6466,Sino-Tibetan,ROUGH,halenepal-Thakali-1677_rough-2,kyohng-pa,kyohng-pa
hantganbangime,hantganbangime-Bambara,Bambara,bamb1269,14.53,-4.1,Mande,SMOOTH,hantganbangime-Bambara-241_smooth-1,nùgú,nùgú
hantganbangime,hantganbangime-Bangime,Bangime,bang1363,14.8,-3.76,Bangime,SMOOTH,hantganbangime-Bangime-241_smooth-1,mérú mérù,mérú_mérù
hantganbangime,hantganbangime-Bankan_Tey,Bankan_Tey,bank1259,15.07,-2.91,Dogon,SMOOTH,hantganbangime-Bankan_Tey-241_smooth-1,órù-m,órù-m
hantganbangime,hantganbangime-Ben_Tey,Ben_Tey,bent1238,14.85,-2.95,Dogon,SMOOTH,hantganbangime-Ben_Tey-241_smooth-1,órù-m,órù-m
hantganbangime,hantganbangime-Bunoge,Bunoge,buno1241,14.65,-3.79,Dogon,SMOOTH,hantganbangime-Bunoge-241_smooth-1,bòràllà-gà,bòràllà-gà
hantganbangime,hantganbangime-Fulfulde,Fulfulde,maas1239,14.8,-3.84,Atlantic,SMOOTH,hantganbangime-Fulfulde-241_smooth-1,haasaa-de,haasaa-de
hantganbangime,hantganbangime-Jamsay,Jamsay,jams1239,14.64,-3.1,Dogon,SMOOTH,hantganbangime-Jamsay-241_smooth-1,ònùrⁿú,ònùrⁿú
hantganbangime,hantganbangime-Jenaama,Jenaama,jena1242,14.79,-3.78,Mande,SMOOTH,hantganbangime-Jenaama-241_smooth-1,dáátà-nà,dáátà-nà
hantganbangime,hantganbangime-Mombo,Mombo,momb1254,14.51,-3.91,Dogon,SMOOTH,hantganbangime-Mombo-241_smooth-1,ɔ́nɔ́nɔ́,ɔ́nɔ́nɔ́
hantganbangime,hantganbangime-Najamba,Najamba,bond1248,14.9,-3.42,Dogon,SMOOTH,hantganbangime-Najamba-241_smooth-1,ónànà ónànɛ̀:,ónànà_ónànɛ̀:
hantganbangime,hantganbangime-Nanga,Nanga,nang1261,14.72,-3.02,Dogon,SMOOTH,hantganbangime-Nanga-241_smooth-1,órî,órî
hantganbangime,hantganbangime-Penange,Penange,pena1270,14.39,-4.03,Dogon,SMOOTH,hantganbangime-Penange-241_smooth-1,ɔ̀nànà,ɔ̀nànà
hantganbangime,hantganbangime-Perge_Tegu,Perge_Tegu,perg1234,14.85,-3.02,Dogon,SMOOTH,hantganbangime-Perge_Tegu-241_smooth-1,órùm,órùm
hantganbangime,hantganbangime-Songhai_Senni,Songhai_Senni,humb1243,15.28,-1.7,Songhay,SMOOTH,hantganbangime-Songhai_Senni-241_smooth-1,yútúlú,yútúlú
hantganbangime,hantganbangime-Tebul_Ure,Tebul_Ure,tebu1239,14.69,-3.11,Dogon,SMOOTH,hantganbangime-Tebul_Ure-241_smooth-1,ɔ́rⁿɔ́nɛ̀:,ɔ́rⁿɔ́nɛ̀:
hantganbangime,hantganbangime-Tiranige_Diga,Tiranige_Diga,tira1258,14.8,-3.72,Dogon,SMOOTH,hantganbangime-Tiranige_Diga-241_smooth-1,búrádá,búrádá
hantganbangime,hantganbangime-Togo_Kan,Togo_Kan,togo1254,14.16,-3.38,Dogon,SMOOTH,hantganbangime-Togo_Kan-241_smooth-1,ɔ̀rⁿɔ́nɔ́nɔ́,ɔ̀rⁿɔ́nɔ́nɔ́
hantganbangime,hantganbangime-Tommo_So,Tommo_So,tomm1242,14.67,-3.51,Dogon,SMOOTH,hantganbangime-Tommo_So-241_smooth-1,ɔ̀rɔ̌y,ɔ̀rɔ̌y
hantganbangime,hantganbangime-Toro_Tegu,Toro_Tegu,toro1253,15.01,-2.4,Dogon,SMOOTH,hantganbangime-Toro_Tegu-241_smooth-1,òlú,òlú
hantganbangime,hantganbangime-Yanda_Dom,Yanda_Dom,yand1257,14.63,-3.15,Dogon,SMOOTH,hantganbangime-Yanda_Dom-241_smooth-1,ɔ̀rⁿɔ̀ndú,ɔ̀rⁿɔ̀ndú
hantganbangime,hantganbangime-Yorno_So,Yorno_So,yorn1234,14.56,-3.24,Dogon,SMOOTH,hantganbangime-Yorno_So-241_smooth-1,ɔ́rɔ̀y,ɔ́rɔ̀y
hantganbangime,hantganbangime-Bangime,Bangime,bang1363,14.8,-3.76,Bangime,ROUGH,hantganbangime-Bangime-212_rough-1,sɔ̀ɡɔ́y-bɛ̀,sɔ̀ɡɔ́y-bɛ̀
hantganbangime,hantganbangime-Bankan_Tey,Bankan_Tey,bank1259,15.07,-2.91,Dogon,ROUGH,hantganbangime-Bankan_Tey-212_rough-1,kà:sú,kà:sú
hantganbangime,hantganbangime-Ben_Tey,Ben_Tey,bent1238,14.85,-2.95,Dogon,ROUGH,hantganbangime-Ben_Tey-212_rough-1,kúnjù-m,kúnjù-m
hantganbangime,hantganbangime-Fulfulde,Fulfulde,maas1239,14.8,-3.84,Atlantic,ROUGH,hantganbangime-Fulfulde-212_rough-1,ɲaadee-de,ɲaadee-de
hantganbangime,hantganbangime-Jamsay,Jamsay,jams1239,14.64,-3.1,Dogon,ROUGH,hantganbangime-Jamsay-212_rough-1,kùɲú,kùɲú
hantganbangime,hantganbangime-Mombo,Mombo,momb1254,14.51,-3.91,Dogon,ROUGH,hantganbangime-Mombo-212_rough-1,yágárá,yágárá
hantganbangime,hantganbangime-Najamba,Najamba,bond1248,14.9,-3.42,Dogon,ROUGH,hantganbangime-Najamba-212_rough-1,yágàjà,yágàjà
hantganbangime,hantganbangime-Nanga,Nanga,nang1261,14.72,-3.02,Dogon,ROUGH,hantganbangime-Nanga-212_rough-1,kùnjí,kùnjí
hantganbangime,hantganbangime-Penange,Penange,pena1270,14.39,-4.03,Dogon,ROUGH,hantganbangime-Penange-212_rough-1,kùrjù,kùrjù
hantganbangime,hantganbangime-Perge_Tegu,Perge_Tegu,perg1234,14.85,-3.02,Dogon,ROUGH,hantganbangime-Perge_Tegu-212_rough-1,kùnjú,kùnjú
hantganbangime,hantganbangime-Songhai_Senni,Songhai_Senni,humb1243,15.28,-1.7,Songhay,ROUGH,hantganbangime-Songhai_Senni-212_rough-1,kàs-ò,kàs-ò
hantganbangime,hantganbangime-Tiranige_Diga,Tiranige_Diga,tira1258,14.8,-3.72,Dogon,ROUGH,hantganbangime-Tiranige_Diga-212_rough-1,yágárá,yágárá
hantganbangime,hantganbangime-Togo_Kan,Togo_Kan,togo1254,14.16,-3.38,Dogon,ROUGH,hantganbangime-Togo_Kan-212_rough-1,kágájú,kágájú
hantganbangime,hantganbangime-Tommo_So,Tommo_So,tomm1242,14.67,-3.51,Dogon,ROUGH,hantganbangime-Tommo_So-212_rough-1,yágárú,yágárú
hantganbangime,hantganbangime-Toro_Tegu,Toro_Tegu,toro1253,15.01,-2.4,Dogon,ROUGH,hantganbangime-Toro_Tegu-212_rough-1,gà:ⁿsú,gà:ⁿsú
hantganbangime,hantganbangime-Yanda_Dom,Yanda_Dom,yand1257,14.63,-3.15,Dogon,ROUGH,hantganbangime-Yanda_Dom-212_rough-1,kùnzù,kùnzù
hantganbangime,hantganbangime-Songhai_Kiini,Songhai_Kiini,koyr1240,15.21,-2.75,Songhay,ROUGH,hantganbangime-Songhai_Kiini-212_rough-1,kà:s-ǒ:,kà:s-ǒ:
hantganbangime,hantganbangime-Yorno_So,Yorno_So,yorn1234,14.56,-3.24,Dogon,ROUGH,hantganbangime-Yorno_So-212_rough-1,kùɲú,kùɲú
hubercolumbian,hubercolumbian-Kamsa,Kamsá,cams1241,1.14537,-76.8931,Camsá,SMOOTH,hubercolumbian-Kamsa-342_smooth-1,bi̵ngi̵njána,bi̵ngi̵njána
hubercolumbian,hubercolumbian-Achagua,Achagua,acha1250,4.38649,-72.2005,Arawakan,SMOOTH,hubercolumbian-Achagua-342_smooth-1,imíijai,imíijai
hubercolumbian,hubercolumbian-Achagua,Achagua,acha1250,4.38649,-72.2005,Arawakan,SMOOTH,hubercolumbian-Achagua-342_smooth-2,ituéjii,ituéjii
hubercolumbian,hubercolumbian-EpenaSaija,Epena Saija,epen1239,4.25877,-77.3566,Chocoan,SMOOTH,hubercolumbian-EpenaSaija-342_smooth-1,kʰakʰajáa,kʰakʰajáa
hubercolumbian,hubercolumbian-Awa,Awa,awac1239,1.21652,-78.3401,Barbacoan,SMOOTH,hubercolumbian-Awa-342_smooth-1,si̵nam,si̵nam
hubercolumbian,hubercolumbian-EpenaBasurudo,Epena Basurudó,epen1239,4.25877,-77.3566,Chocoan,SMOOTH,hubercolumbian-EpenaBasurudo-342_smooth-1,kʰakʰajáa,kʰakʰajáa
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-1,pʰí̵rɯɯkʰɯ́né,pʰí̵rɯɯkʰɯ́né
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-2,mééβane,mééβane
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-3,rɯtʰɯ́rɯ́tʰɯ,rɯtʰɯ́rɯ́tʰɯ
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-4,tʰɯ́ʔtʰɯ́ríβatʰɯ́ne,tʰɯ́ʔtʰɯ́ríβatʰɯ́ne
hubercolumbian,hubercolumbian-Bari,Barí,bari1297,9.08497,-72.9353,Chibchan,SMOOTH,hubercolumbian-Bari-342_smooth-1,atrobiʃininə,atrobiʃininə
hubercolumbian,hubercolumbian-Bara,Bará,waim1255,0.30416,-70.1644,Tucanoan,SMOOTH,hubercolumbian-Bara-342_smooth-1,hipí,hipí
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-1,ahué,ahué
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-2,kónihai,kónihai
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-3,hapína,hapína
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-4,huehnéka,huehnéka
hubercolumbian,hubercolumbian-Barasana,Barasana,bara1380,0.02193,-70.808,Tucanoan,SMOOTH,hubercolumbian-Barasana-342_smooth-1,gosí,gosí
hubercolumbian,hubercolumbian-Secoya,Secoya,seco1241,-0.459785,-75.5547,Tucanoan,SMOOTH,hubercolumbian-Secoya-342_smooth-1,koʔsihaʔiko,koʔsihaʔiko
hubercolumbian,hubercolumbian-Chapalaachi,Cha'palaachi,chac1249,0.71489,-79.0508,Barbacoan,SMOOTH,hubercolumbian-Chapalaachi-342_smooth-1,ehʧamilʲalʲa,ehʧamilʲalʲa
hubercolumbian,hubercolumbian-Guambiano,Guambiano,guam1248,2.55849,-76.582,Barbacoan,SMOOTH,hubercolumbian-Guambiano-342_smooth-1,mil,mil
hubercolumbian,hubercolumbian-Cuiba,Cuiba,cuib1242,6.19829,-69.8197,Guahiboan,SMOOTH,hubercolumbian-Cuiba-342_smooth-1,áxue,áxue
hubercolumbian,hubercolumbian-Cuiba,Cuiba,cuib1242,6.19829,-69.8197,Guahiboan,SMOOTH,hubercolumbian-Cuiba-342_smooth-2,dámei,dámei
hubercolumbian,hubercolumbian-Carijona,Carijona,cari1279,1.21894,-72.0664,Cariban,SMOOTH,hubercolumbian-Carijona-342_smooth-1,sarasarame,sarasarame
hubercolumbian,hubercolumbian-Macuna,Macuna,macu1260,-0.14459,-70.0749,Tucanoan,SMOOTH,hubercolumbian-Macuna-342_smooth-1,gosi,gosi
hubercolumbian,hubercolumbian-Chimila,Chimila,chim1309,10.1902,-74.2559,Chibchan,SMOOTH,hubercolumbian-Chimila-342_smooth-1,píiroʔ,píiroʔ
hubercolumbian,hubercolumbian-Guayabero,Guayabero,guay1257,2.8969,-71.844,Guahiboan,SMOOTH,hubercolumbian-Guayabero-342_smooth-1,hahóek,hahóek
hubercolumbian,hubercolumbian-EmberaChami,Embera Chamí,embe1262,4.8791,-76.0749,Chocoan,SMOOTH,hubercolumbian-EmberaChami-342_smooth-1,kʰakʰajá,kʰakʰajá
hubercolumbian,hubercolumbian-Carapana,Carapana,cara1272,0.06168,-69.6465,Tucanoan,SMOOTH,hubercolumbian-Carapana-342_smooth-1,jãbẽ́rõ,jãbẽ́rõ
hubercolumbian,hubercolumbian-Carapana,Carapana,cara1272,0.06168,-69.6465,Tucanoan,SMOOTH,hubercolumbian-Carapana-342_smooth-2,jabé,jabé
hubercolumbian,hubercolumbian-Curripaco,Curripaco,curr1243,0.69618,-67.5028,Arawakan,SMOOTH,hubercolumbian-Curripaco-342_smooth-1,ketidali,ketidali
hubercolumbian,hubercolumbian-Ika,Ika,arhu1242,10.7018,-73.6363,Chibchan,SMOOTH,hubercolumbian-Ika-342_smooth-1,ʒən,ʒən
hubercolumbian,hubercolumbian-Catio,Catío,embe1260,7.52721,-76.7476,Chocoan,SMOOTH,hubercolumbian-Catio-342_smooth-1,kʰaikʰajá,kʰaikʰajá
hubercolumbian,hubercolumbian-Cubeo,Cubeo,cube1242,1.32382,-70.1939,Tucanoan,SMOOTH,hubercolumbian-Cubeo-342_smooth-1,jarídõ,jarídõ
hubercolumbian,hubercolumbian-Muinane,Muinane,muin1242,-0.8652,-72.4249,Boran,SMOOTH,hubercolumbian-Muinane-342_smooth-1,párʲí̵í̵ki̵no,párʲí̵í̵ki̵no
hubercolumbian,hubercolumbian-Muinane,Muinane,muin1242,-0.8652,-72.4249,Boran,SMOOTH,hubercolumbian-Muinane-342_smooth-2,móóβano,móóβano
hubercolumbian,hubercolumbian-Muinane,Muinane,muin1242,-0.8652,-72.4249,Boran,SMOOTH,hubercolumbian-Muinane-342_smooth-3,rí̵rí̵kuno,rí̵rí̵kuno
hubercolumbian,hubercolumbian-Desano,Desano,desa1247,0.58157,-69.4955,Tucanoan,SMOOTH,hubercolumbian-Desano-342_smooth-1,japí,japí
hubercolumbian,hubercolumbian-Inga,Inga,inga1252,1.00313,-76.8606,Quechuan,SMOOTH,hubercolumbian-Inga-342_smooth-1,lʲúʧka,lʲúʧka
hubercolumbian,hubercolumbian-Dimina,Dí̵mi̵na,mala1522,10.9286,-73.4056,Chibchan,SMOOTH,hubercolumbian-Dimina-342_smooth-1,suru kwáiga,suru kwáiga
hubercolumbian,hubercolumbian-EmberaDarien,Embera Darién,nort2972,7.12761,-77.574,Chocoan,SMOOTH,hubercolumbian-EmberaDarien-342_smooth-1,towakʰiɾúa,towakʰiɾúa
hubercolumbian,hubercolumbian-Nukak,Nukak,nuka1242,2.65939,-71.4629,Kakua-Nukak,SMOOTH,hubercolumbian-Nukak-342_smooth-1,hĩõ²,hĩõ²
hubercolumbian,hubercolumbian-Jitnu,Jitnu,maca1259,6.34582,-71.2671,Guahiboan,SMOOTH,hubercolumbian-Jitnu-342_smooth-1,huehuék,huehuék
hubercolumbian,hubercolumbian-Koreguaje,Koreguaje,kore1283,0.92316,-75.3475,Tucanoan,SMOOTH,hubercolumbian-Koreguaje-342_smooth-1,si̵ʔkʰahaʔi,si̵ʔkʰahaʔi
