idR,REF,CIT,SOU,FUN,TRA,CGR,COA,TUF,COD,FRM,FSI,STO,SCS,SCC,TUE,CGO,RAC,langue,rough/smooth
143833,207,Childs 2000 : kisi,79,kpééláá / kpééláláŋ,"a tall, straight palm tree with a smooth trunk and sometimes no fronds ; a dead palm tree",N,,palmier sp. ; palmier mort,PEDA,kpééláá / kpééláláŋ,kpeelaa,HHHH,CVVCVV,,,N o/la,kpéélá,Kisi,smooth
143984,217,Childs 2000 : kisi,79,kpɔ̀lɔ̀kàá,smooth out,V,See kpòlòkà ‘smoothly’.,défroisser ; aplanir,PODOKA,kpɔ̀lɔ̀kàá,kpɔlɔkaa,LLLH,CVCVCVV,,,V BASE,kpɔlɔka,Kisi,smooth
143985,217,Childs 2000 : kisi,79,kpɔ̀lɔ̀kɔ̀,smooth,adj,,lisse,PODOKO,kpɔ̀lɔ̀kɔ̀,kpɔlɔkɔ,LLL,CVCVCV,,,ADJ,kpɔlɔka,Kisi,smooth
144481,251,Childs 2000 : kisi,79,mísìkà-mísìkà,"describes the surface of something, hairy, scraggly, rough, uneven, bumpy, curvaceous, plump",id,,{aspect},BICIKA-BICIKA,mísìkà-mísìkà,misika-misika,HLL-HLL,CVCVCV-CVCVCV,,{aspect},ID,,Kisi,rough
144736,269,Childs 2000 : kisi,79,ŋèlèmàá,2. name of a rough game children play,N,1. [...] to make them strong and tough. See ŋéémáá ‘scorpion’.,liquide sp.,GEDEBA,ŋèlèmàá,ŋelemaa,LLLH,CVCVCVV,,,N o,ŋèlèmà,Kisi,rough
146068,356,Childs 2000 : kisi,79,tɛ̀lɛ̀kàá,smooth out or over,V,,défroisser ; aplanir,TEDEKA,tɛ̀lɛ̀kàá,tɛlɛkaa,LLLH,CVCVCVV,,,V BASE,tɛlɛka,Kisi,smooth
146069,356,Childs 2000 : kisi,79,tɛ̌lɛ́kɛ̀lɛ́,describes something smooth [...],id,"[...], like cement or wet mud",{aspect},TEDEKEDE,tɛ̌lɛ́kɛ̀lɛ́,tɛlɛkɛlɛ,RHLH,CVCVCVCV,,{aspect},ID,,Kisi,smooth
146290,368,Childs 2000 : kisi,79,tɔ́lɔ́lɔ́,smooth [...],id,"[...], e.g., the hair on an animal",doux,TODODO,tɔ́lɔ́lɔ́,tɔlɔlɔ,HHH,CVCVCV,,,ID,,Kisi,smooth
146473,381,Childs 2000 : kisi,79,wásá,"describes rough speaking with people, showing pride, acting important",id,See wásóó ‘pride’.,{parole},BACA,wásá,wasa,HH,CVCV,,{speech},ID,,Kisi,rough
146881,407,Childs 2000 : kisi,79,yìkpàá,"rub or grind, apply plaster, smooth, as cement plaster, sharpen or be sharp",V,Var : yukpa.,frotter ; moudre ; plâtrer ; lisser ; affûter ; être tranchant,JIPA,yìkpàá,yikpaa,LLH,CVCVV,,,V BASE,yikpa,Kisi,smooth
914110,5,Creissels 1996 : tswana,84,bʊ̀-χʷàtá,être rugueux,Vc,,,KATA,nna bogwata,χʷata,L-LH,CVCV,,,,,Tswana,rough
914464,8,Creissels 1996 : tswana,84,bʊ̀-rɩ̀tʰɩ̀,être lisse,Vc,,,DITI,nna borethe,rɩtʰɩ,L-LL,CVCV,,,,,Tswana,smooth
917487,40,Creissels 1996 : tswana,84,màχɛ̀lɛ̀ʤwà,nna magelejwa: être rugueux,V,,,BAKEDEJA,magelejwa,maχɛlɛjwa,LLLL,CVCVCVCCV,,,,,Tswana,rough
917497,40,Creissels 1996 : tswana,84,mà-χʷàtà,être rugueux,Vc,,,KATA,nna magwata,χʷata,L-LL,CVCV,,,,,Tswana,rough
917536,41,Creissels 1996 : tswana,84,mà-qʰáwɛ́qʰáwɛ̀,"nna makgapha: être rugueux, inégal (sol)",N,,,KABEKABE,makgawekgawe,qʰawɛqʰawɛ,L-HHHL,CVCVCVCV,,,,,Tswana,rough
917540,41,Creissels 1996 : tswana,84,mà-qʰʷàqʰʷà,nna makgwakgwa : être rugueux,N,,,KAKA,makgwakgwa,qʰʷaqʰʷa,L-LL,CVCV,,,,,Tswana,rough
920050,67,Creissels 1996 : tswana,84,rɩ̀tʰɩ̀fàlà,"être/devenir lisse, émoussé",V,,,DITIPADA,rethefala,rɩtʰɩfala,LLLL,CVCVCVCV,,,,,Tswana,smooth
920051,67,Creissels 1996 : tswana,84,rɩ̀tʰɩ̀fàtsà,"lisser, émousser",V,,,DITIPATCA,rethefatsa,rɩtʰɩfatsa,LLLL,CVCVCVCV,,,,,Tswana,smooth
920069,67,Creissels 1996 : tswana,84,rìtɛ̀là,"polir, lisser",V,,,DITEDA,ritela,ritɛla,LLL,CVCVCV,,,,,Tswana,smooth
920933,76,Creissels 1996 : tswana,84,sʊ́lá,"lisser, caresser",V,,,CUDA,sola,sʊla,HH,CVCV,,,,,Tswana,smooth
921381,81,Creissels 1996 : tswana,84,tʰìtɛ̀lɔ̀,galet utilisé comme outil pour lisser,N,,,TITEDO,thitelo,tʰitɛlɔ,LLL,CVCVCV,,,,,Tswana,smooth
759078,I125,Crétois 1973/77 : sereer,85,bayndox n,"Sorte d'Héliotrope sauvage de la Famille des Borraginacées, à feuilles elliptiques lancéoléesn longues de 4 à 7 cent. à poils rigides et non appliqués; fleurs blanches, petites, en cymes terminales scopicides; capsul glabre, lisse à maturité, portant 2 ailettes cornées: Heliotropium ptercarpum (D.C) HOST et ST.",N,"NB. C'est une plante qu'on rencontre dans les Sables, au bord ds routes",plante sp.,BAJDOK,bayndox n,,,CVCCVC,,,,bayndox,Sereer,smooth
759941,I263,Crétois 1973/77 : sereer,85,ɓodax,être gluant [cf. law] - être glissant - être souple - être poli - être lisse - être tendre - être uni,V,,,BODAK,ɓodax,,,CVCVC,,,,ɓodax,Sereer,smooth
759942,I264,Crétois 1973/77 : sereer,85,ɓodax n,"ce qui est gluant, glissant [cf. ɓodaxnan a...al] - ce qui est souple, poli, tendre , lisse, uni - la souplesse",N,,,BODAK,ɓodax n,,,CVCVC,,,,ɓodax,Sereer,smooth
759944,I264,Crétois 1973/77 : sereer,85,ɓodaxand,"assouplir, polir - rendre gluant - lisser - raboter",V,,assouplir ; lisser,BODAK,ɓodaxand,,,CVCVC,,,,ɓodax,Sereer,smooth
760014,I276,Crétois 1973/77 : sereer,85,ɓortod,descendre d'un arbre à tronc lisse [comme le ronier],V,NB. Pour les autres arbres on dit : fudoxid,descendre d'un arbre,BOD,ɓortod,,,CVC,,,,ɓor,Sereer,smooth
771966,V4,Crétois 1973/77 : sereer,85,ɲagas,"être raboteux, rude au toucher etc - être rêche, rugueux - avoir des aspérités",V,cf. ñaas - ñees,,JAGAC,ñagas,,,CVCVC,,,,ɲagas,Sereer,rough
772158,V35,Crétois 1973/77 : sereer,85,ɲaas,"être raboteux - être rude au toucher - être rugueux, âpre au toucher - être rêche - être calleux",V,cf. ñagas - ñees,,JAC,ñaas,,,CVC,,,,ɲaas,Sereer,rough
772163,V35,Crétois 1973/77 : sereer,85,ɲaasand,"dépolir - rendre rude, raboteux, rugueux, âpre au toucher - rendre rêche",V,cf. ñeesand,,JAC,ñaasand,,,CVC,,,,ɲaas,Sereer,rough
775491,V573,Crétois 1973/77 : sereer,85,seq,Etre rugueux - être âpre au toucher - être brut - avoir la peau rugueuse (par suite du froid) - blesser par une écharde - enfoncer une écharde,V,Dér. ceq n - seq a...al - seqand - seqatin k - seqit - seqox - seqtin k,rugueux ; enfoncer une écharde,CEK,seq,,,CVC,,,,seq,Sereer,rough
775495,V573,Crétois 1973/77 : sereer,85,seqand,rendre rugueux - dépolir,V,,,CEK,seqand,,,CVC,,,,seq,Sereer,rough
929774,148,Ducroz & Charles 1978 : kaado,92,kású,être rugueux,V,,rugueux,KACU,kású,kasu,HH,CVCV,,,,,Kaado,rough
929776,148,Ducroz & Charles 1978 : kaado,92,kásàntó,rugueux,adj,,rugueux,KACATO,kásàntó / á,kasanto,HLH,CVCVCV,,,,,Kaado,rough
929777,149,Ducroz & Charles 1978 : kaado,92,káséndì,rendre rugueux,V,,rugueux + CAUS,KACEDI,káséndì,kasendi,HHL,CVCVCV,,,,,Kaado,rough
929967,155,Ducroz & Charles 1978 : kaado,92,kòòfù,"rendre lisse, débarasser des adhérences",V,,rendre lisse,KOPU,kòofù,koofu,LLL,CVVCV,,,,,Kaado,smooth
929969,155,Ducroz & Charles 1978 : kaado,92,kóófàntó,lisse,adj,,lisse,KOPATO,kóofàntó / á,koofanto,HHLH,CVVCVCV,,smooth,,,Kaado,smooth
932140,240,Ducroz & Charles 1978 : kaado,92,yúttú,"être visqueux, lisse, gluant, glissant, filant",V,,lisse ; gluant,JUTU,yúttú,yuttu,HH,CVCCV,,smooth,,,Kaado,smooth
932141,240,Ducroz & Charles 1978 : kaado,92,yúttú,"le lisse, le filant, le gluant",N,,lisse ; gluant,JUTU,yúttú / ó,yuttu,HH,CVCCV,,smooth,,,Kaado,smooth
932143,240,Ducroz & Charles 1978 : kaado,92,yúttàntó,"visqueux, lisse, gluant",adj,,lisse ; gluant,JUTATO,yúttàntó / á,yuttanto,HLH,CVCCVCV,,smooth,,,Kaado,smooth
932144,240,Ducroz & Charles 1978 : kaado,92,yútténdì,"rendre filant, gluant",V,,lisse + CAUS ; gluant + CAUS,JUTEDI,yútténdì,yuttendi,HHL,CVCCVCV,,,,,Kaado,smooth
116687,157,"Fal, Santos & Doneux 1990 : wolof",115,ɲagas,"être rugueux, être rude",V,,rugueux ; rude,JAGAC,ñagas,ɲagas,,CVCVC,,,v.,,Wolof,rough
956519,59,Parker & Hayward 1985 : afar,336,ʕeeɖiní,"be coarse, be raw / être grossier, être cru",V,,,KEDIDI,qeexini,ʕeeɖini,___H,CVVCVCV,,,,,Afar,rough
956520,59,Parker & Hayward 1985 : afar,336,ʕeeɖinnoowé,"become raw, become coarse / devenir cru, devenir grossier",V,,,KEDIDOBE,qeexinnoowe,ʕeeɖinnoowe,_____H,CVVCVCCVVCV,,,,,Afar,rough
956801,63,Parker & Hayward 1985 : afar,336,baáɖa,smooth clean place for sitting inside / endroit propre pour s'asseoir à l'intérieur de la maison,N,,,BADA,baàxa,baaɖa,_H_,CVVCV,,,,,Afar,smooth
959657,103,Parker & Hayward 1985 : afar,336,fiiló,2. smoothing / action de lisser,N,,,PIDO,fiilo,fiilo,__H,CVVCV,,,,,Afar,smooth
959680,103,Parker & Hayward 1985 : afar,336,filé,"comb, make smooth / peigner, lisser",V,,,PIDE,file,file,_H,CVCV,,,,,Afar,smooth
960235,111,Parker & Hayward 1985 : afar,336,garħangariné,"be rough / être rude, être rugueux",V,,,GADKAGADIDE,garcangarine,garħangarine,____H,CVCCVCVCVCV,,,,,Afar,rough
961550,129,Parker & Hayward 1985 : afar,336,ħinkaakiriní,"be jagged, be rough, be sharp / être rugueux, être hérissé, être pointu",V,,,KIKAKIDIDI,cinkaakirini,ħinkaakirini,_____H,CVCVVCVCVCV,,,,,Afar,rough
961551,129,Parker & Hayward 1985 : afar,336,ħinkaakirinnoowé,"become jagged, become rough / devenir dentelé, devenir rugueux",V,,,KIKAKIDIDOBE,cinkaakirinnoowe,ħinkaakirinnoowe,_______H,CVCVVCVCVCCVVCV,,,,,Afar,rough
964654,172,Parker & Hayward 1985 : afar,336,murdiní,"be coarse, be pebbly / être grossier, être caillouteux",V,,,BUDIDI,murdini,murdini,__H,CVCCVCV,,,,,Afar,rough
964658,172,Parker & Hayward 1985 : afar,336,murduddinnoowé,"1. become coarse, become pebbly / devenir grossier, devenir caillouteux",V,,,BUDUDIDOBE,murduddinnoowe,murduddinnoowe,_____H,CVCCVCCVCCVVCV,,,,,Afar,rough
965919,189,Parker & Hayward 1985 : afar,336,saytuné,"1. become clear, become smooth / devenir clair/doux/lisse",V,,,CAJTUDE,saytune,saytune,__H,CVCCVCV,,,,,Afar,smooth
965921,189,Parker & Hayward 1985 : afar,336,saytuní,"be clear, be smooth / être clair, être doux, être lisse",V,,,CAJTUDI,saytuni,saytuni,__H,CVCCVCV,,,,,Afar,smooth
965922,189,Parker & Hayward 1985 : afar,336,saytunnoowé,"1. become clear, become smooth / devenir clair, devenir doux, devenir lisse",V,,,CAJTUDOBE,saytunnoowe,saytunnoowe,____H,CVCCVCCVVCV,,,,,Afar,smooth
966350,195,Parker & Hayward 1985 : afar,336,suttaaħiní,be smooth / être lissé,V,,,CUTAKIDI,suttaacini,suttaaħini,____H,CVCCVVCVCV,,,,,Afar,smooth
966351,195,Parker & Hayward 1985 : afar,336,suttuúħa,"smooth-skinned lizard, a type of skink / lézard à la peau lisse, scinque",N,,,CUTUKA,suttuùca,suttuuħa,__H_,CVCCVVCV,,,,,Afar,smooth
966353,195,Parker & Hayward 1985 : afar,336,suttuuħunnoowé,become smooth / devenir lisse,V,,"lisse, devenir",CUTUKUDOBE,suttuucunnoowe,suttuuħunnoowe,______H,CVCCVVCVCCVVCV,,,,,Afar,smooth
966354,195,Parker & Hayward 1985 : afar,336,suttuuħunuté,become smooth / devenir lissé,V,,,CUTUKUDUTE,suttuucunute,suttuuħunute,_____H,CVCCVVCVCVCV,,,,,Afar,smooth
966355,195,Parker & Hayward 1985 : afar,336,suttuuħunusé,make smooth / aplanir,V,,aplanir,CUTUKUDUCE,suttuucunuse,suttuuħunuse,_____H,CVCCVVCVCVCV,,,,,Afar,smooth
967132,205,Parker & Hayward 1985 : afar,336,urguftá,"thin, smooth, venomous snake / serpent venimeux mince",N,,,UDGUPTA,urgufta,urgufta,__H,VCCVCCV,,,,,Afar,smooth
958719,90,Parker & Hayward 1985 : afar,336,ɖamaħé,"become cold, become cool, become easy, become soft, become smooth / se refroidir, se rafraîchir, devenir facile, devenir doux, devenir lisse",V,,,DABAKE,xamace,ɖamaħe,__H,CVCVCV,,,,,Afar,smooth
958735,90,Parker & Hayward 1985 : afar,336,ɖamħiní,"2. be soft, be smooth, be easy / être doux, être lisse, être facile",V,,,DABKIDI,xamcini,ɖamħini,__H,CVCCVCV,,,,,Afar,smooth
958739,90,Parker & Hayward 1985 : afar,336,ɖammaħoowé,"1. become cold, become cool, become easy, become soft, become smooth / devenir froid, devenir facile, devenir mou, devenir doux",V,,,DABAKOBE,xammacoowe,ɖammaħoowe,____H,CVCCVCVVCV,,,,,Afar,smooth
961628,130,Parker & Hayward 1985 : afar,336,ħoowé,"plane, scrape to make smooth / aplanir, raboter",V,,,KOBE,coowe,ħoowe,__H,CVVCV,,,,,Afar,smooth
961631,131,Parker & Hayward 1985 : afar,336,ħoowó,planing smooth / rabotage,N,,,KOBO,coowo,ħoowo,__H,CVVCV,,,,,Afar,smooth
964938,175,Parker & Hayward 1985 : afar,336,obtík mawʕá,rough undulating terrain / terrain accidenté,N,,,OBTIK BABKA,obtìk mawqà,obtik mawʕa,_H _H,VCCVC CVCCV,,,,,Afar,rough
965027,177,Parker & Hayward 1985 : afar,336,oobakyáwʕi,rough undulating terrain / terrain accidenté,N,[etym] <oob-ak yàwqi descend-ing rising,,OBAKABKI,oobakyàwqi,oobakyawʕi,___H_,VVCVCCVCCV,,,,,Afar,rough
965161,178,Parker & Hayward 1985 : afar,336,oysoɖɖooɖoħé,2. plane smooth / raboter,V,,raboter,OJCODDODOKE,oysoxxooxoce,oysoɖɖooɖoħe,_____H,VCCVCCVVCVCV,,,,,Afar,smooth
967609,211,Parker & Hayward 1985 : afar,336,wiité,"smooth type of lizard, a type of skink / lézard à la peau lisse, type de scinque",N,,,BITE,wiite,wiite,__H,CVVCV,,,,,Afar,smooth
500910,41,Roulon-Doko 2008 : gbaya,347,bɔ́ɲá-tí-sèè,partie lisse de l'avant du tronc,N,,,BOJA-TI-CE,bɔ́ɲá-tí-sèè,bɔɲa-ti-see,HH-H-LL,CVCV-CV-CVV,,,n,,Gbaya,smooth
501034,48,Roulon-Doko 2008 : gbaya,347,ɓàkàrà-ɓàkàrà,rugueux,adj,,rugueux,BAKADA,ɓàkàrà-ɓàkàrà,ɓakara,LLL,CVCVCV-CVCVCV,,rough,aa,,Gbaya,rough
501539,82,Roulon-Doko 2008 : gbaya,347,dìm-dɔ̀rɔ̀m,lisse,adj,,lisse,DIB-DODOB,dìm-dɔ̀rɔ̀m,dim-dɔrɔm,L-LL,CVC-CVCVC,,,aa,,Gbaya,smooth
501615,87,Roulon-Doko 2008 : gbaya,347,dòndòŋ,surface lisse,adj,,,DODOG,dòndòŋ,dondoŋ,LL,CVCVC,,,aa,,Gbaya,smooth
501960,109,Roulon-Doko 2008 : gbaya,347,ɗòòl,fait un dôme tout lisse,adj,insulte ; crâne rasé,,DOD,ɗòòl,ɗool,LL,CVVC,,,aa,,Gbaya,smooth
503158,178,Roulon-Doko 2008 : gbaya,347,gbɔ̀lɔ̀m,touffu et lisse,adj,continuité d'éléments fins sur une surface importante,,BODOB,gbɔ̀lɔ̀m,gbɔlɔm,LL,CVCVC,,,aa,,Gbaya,smooth
503238,183,Roulon-Doko 2008 : gbaya,347,hàkàràkà ~ hàkàròkò,très rugueux,adj,concerne l'écorce,,KAKADAKA ~ KAKADOKO,hàkàràkà ~ hàkàròkò,hakaraka ~ hakaroko,LLLL,CVCVCVCV ~ CVCVCVCV,,,aa,,Gbaya,rough
503333,189,Roulon-Doko 2008 : gbaya,347,hɛ̀kɛ̀rɛ̀-hɛ̀kɛ̀rɛ̀,"rugueux, râpeux",adj,appréciation tactile,,KEKEDE,hɛ̀kɛ̀rɛ̀-hɛ̀kɛ̀rɛ̀,hɛkɛrɛ,LLL,CVCVCV-CVCVCV,,,aa,,Gbaya,rough
503455,198,Roulon-Doko 2008 : gbaya,347,hɔ̀n-hɔ̀n,lisse,adj,corps des gens et des animaux seulement,lisse,KOD,hɔ̀n-hɔ̀n,hɔn,L,CVC-CVC,,,aa,,Gbaya,smooth
503822,221,Roulon-Doko 2008 : gbaya,347,kínɔ́-kínɔ́,lisse et oblong,adj,,,KIDO,kínɔ́-kínɔ́,kinɔ,HH,CVCV-CVCV,,,aa,,Gbaya,smooth
504254,248,Roulon-Doko 2008 : gbaya,347,kpàlè,bien lisse,adj,,,PADE,kpàlè,kpale,LL,CVCV,,,aa,,Gbaya,smooth
504327,252,Roulon-Doko 2008 : gbaya,347,kpɛ́ɗɛ̀sɛ́,la bien lisse,N,[cf] kpɛ̀ɗɛ̀sɛ̀-kpɛ̀ɗɛ̀sɛ̀ 'qui forme une surface bien propre' ; [ethno] Comestible ; [n sci] sphingidés,,PEDECE,kpɛ́ɗɛ̀sɛ́,kpɛɗɛsɛ,HLH,CVCVCV,,,n,,Gbaya,smooth
504342,253,Roulon-Doko 2008 : gbaya,347,kpɛ́kɛ́ɛ́-kpɛ́kɛ́ɛ́,lisse,adj,,lisse,PEKE,kpɛ́kɛ́ɛ́-kpɛ́kɛ́ɛ́,kpɛkɛɛ,HHH,CVCVV-CVCVV,,,aa,,Gbaya,smooth
504425,258,Roulon-Doko 2008 : gbaya,347,kpòkòɓò-kpòkòɓò,bien lisse,adj,,,POKOBO,kpòkòɓò-kpòkòɓò,kpokoɓo,LLL,CVCVCV-CVCVCV,,,aa,,Gbaya,smooth
506489,395,Roulon-Doko 2008 : gbaya,347,ràkà-ràkà,rugueux,adj,,rugueux,DAKA,ràkà-ràkà,raka,LL,CVCV-CVCV,,rough,aa,,Gbaya,rough
506908,423,Roulon-Doko 2008 : gbaya,347,sɔ̀kɔ̀yɔ̀kɔ̀,rugueux,adj,aspect d'une peau galeuse,rugueux,COKOJOKO,sɔ̀kɔ̀yɔ̀kɔ̀,sɔkɔyɔkɔ,LLLL,CVCVCVCV,,rough,aa,,Gbaya,rough
507817,478,Roulon-Doko 2008 : gbaya,347,wɛ̀ɛ̀,"cuivre, bracelet lisse en cuivre",N,,,BE,wɛ̀ɛ̀,wɛɛ,LL,CVV,,,n,,Gbaya,smooth
508184,503,Roulon-Doko 2008 : gbaya,347,yɔ̀ɔ̀,"lisse, glissant",adj,,glissant ; lisse,JO,yɔ̀ɔ̀,yɔɔ,LL,CVV,,,aa,,Gbaya,smooth
508188,504,Roulon-Doko 2008 : gbaya,347,yɔ̀ɔ̀kpɛ̀ɛ̀,lisse,adj,,lisse,JOPE,yɔ̀ɔ̀kpɛ̀ɛ̀,yɔɔkpɛɛ,LLLL,CVVCVV,,,aa,,Gbaya,smooth
572662,32,Blackings 2000 : Maʼdi,1366,ɛ́kwɩ́,2 (of flour etc) coarse; not fine,N,,,EKI,ɛ́kwɨ́,ɛkwɩ,HH,,,,noun,,Maʼdi,rough
572772,33,Blackings 2000 : Maʼdi,1366,ɛ̀ɲɩ́ / ɛ̄ɲɩ̄,1 rough; tough,adj,,,EJI,ɛ̀nyɨ́,ɛɲɩ,LH / MM,,,,adjective,,Maʼdi,rough
573524,45,Blackings 2000 : Maʼdi,1366,ɩ̄kwɩ́,1 to make a coarse thing finer,V,,affiner,IKI,ɨ̄kwɨ́,ɩkwɩ,MH,,,to refine,verb,,Maʼdi,rough
573525,45,Blackings 2000 : Maʼdi,1366,ɩ̄kwɩ́,2 to level and make a mud room smooth,V,ALSO “ēfū”,niveler,IKI,ɨ̄kwɨ́,ɩkwɩ,MH,,,to level,verb,,Maʼdi,smooth
575573,73,Blackings 2000 : Maʼdi,1366,nʊ̄ɛ̄ nʊ̀ɛ̄,the smooth sliding of a succelent juice down the throat,id,,,DUE,nʊ̄ɛ̄ nʊ̀ɛ̄,nʊɛ nʊɛ,MM LM,,,,ideophone,,Maʼdi,smooth
575749,76,Blackings 2000 : Maʼdi,1366,ŋɔ̀rɔ̀ŋɔ̀rɔ̀ / ŋɔ̄rɔ́ŋɔ̀rɔ̄,"rough, uneven; not smooth",adj,,,GODOGODO,ngɔ̀rɔ̀ngɔ̀rɔ̀,ŋɔrɔŋɔrɔ,LLLL / MHLM,,,,adjective,,Maʼdi,rough
576414,86,Blackings 2000 : Maʼdi,1366,rɛ̀ ~ rwɛ̀,"smooth, even, flat",adv,ALSO “rwɛ̀”,lisse ; plat,DE,rɛ̀,rɛ ~ rwɛ,L,,,smooth ; even,adv,,Maʼdi,smooth
576526,87,Blackings 2000 : Maʼdi,1366,rwɛ̀,smooth; not rough,adj,,doux,DE,rwɛ̀,rwɛ,L,,,smooth,adjective,,Maʼdi,smooth
597992,108,Greffier-Ezzano 1960 : sérère,1692,ɲas,être rugueux,V,,rugueux,JAC,ñas,,,CVC,,,,,Sérère,rough
598757,129,Greffier-Ezzano 1960 : sérère,1692,sɛk,être rugueux,V,,rugueux,CEK,Sèk,,,CVC,,,,,Sérère,rough
598758,129,Greffier-Ezzano 1960 : sérère,1692,sɛkand,dépolir; rendre rugueux,V,,,CEKAD,Sèkand,,,CVCVC,,,,,Sérère,rough
308581,7,Thomas 1916 : Timne,1699,baki,"hard, difficult, strong, old, sad, rough, etc.",qlt,,dur ; difficile ; fort,BAKI,baki,baki,,CVCV,,hard ; difficult ; strong,,,Timne,rough
308582,7,Thomas 1916 : Timne,1699,baki,"hard, difficult, strong, old, sad, rough, etc.",qlt,,vieux,BAKI,baki,baki,,CVCV,,old,,,Timne,rough
308583,7,Thomas 1916 : Timne,1699,baki,"hard, difficult, strong, old, sad, rough, etc.",qlt,,triste,BAKI,baki,baki,,CVCV,,sad,,,Timne,rough
308604,8,Thomas 1916 : Timne,1699,bælək bælək,smooth and hard ; noise of swallowing.,id,,{qualité},BEDAK,bạlək bạlək,bælək,,CVCVC,,{quality},,,Timne,smooth
308605,8,Thomas 1916 : Timne,1699,bælək bælək,smooth and hard ; noise of swallowing.,id,,{bruit},BEDAK,bạlək bạlək,bælək,,CVCVC,,{noise},,,Timne,smooth
308711,11,Thomas 1916 : Timne,1699,bəm,powder coarse meal.,V,,poudrer,BAB,bəm,bəm,,CVC,,to powder,,,Timne,rough
309186,24,Thomas 1916 : Timne,1699,gbakər bakər,be rough (voice).,id,,{bruit},BAKAD,ḃakər bakər,gbakər,,CVCVC,,{noise},,,Timne,rough
309219,25,Thomas 1916 : Timne,1699,gbalta,"be coarse (sand), be tough (meat).",V,,gros ; coriace,BADTA,ḃalta,gbalta,,CVCCV,,to be coarse ; to be tough,,,Timne,rough
309518,32,Thomas 1916 : Timne,1699,gbɔni gbɔni,smooth.,id,,{qualité},BODI,ḃo̧ni ḃo̧ni,gbɔni,,CVCV,,{quality},,,Timne,smooth
309540,33,Thomas 1916 : Timne,1699,gbonkəl gbonkəl,be rough (road),id,,{qualité},BOKAD,ḃoṅkəl ḃoṅkəl,gbonkəl,,CVCVC,,{quality},,,Timne,rough
