iso.x,language,eng_orig.x,roughness,trans,back_trans,language_n,rough,iso639.3,regexp.r,regexp.l,r,l,mbranch,stock,area,continent,longitude,latitude,regexp.t,regexp.n,regexp.s,regexp.k,regexp.m,regexp.p,regexp.b,regexp.d,t,d,p,b,k,s,m,n,id,iso.y,eng_orig.y,trans_qual
af,Afrikaans,crumpled,3.1,gefrommel,crumpled,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,af crumpled,NA,NA,NA
af,Afrikaans,sandy,3.9,sanderige,sandy,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,af sandy,NA,NA,NA
af,Afrikaans,dented,2.4,ingeduik,dented,72,TRUE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,af dented,NA,NA,NA
af,Afrikaans,icy,-4.3,ysige,icy,72,FALSE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af icy,NA,NA,NA
af,Afrikaans,scratchy,5,krapperig,scratchy,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,af scratchy,NA,NA,NA
af,Afrikaans,crusty,2.9,bedonnerde,crusty,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,af crusty,NA,NA,NA
af,Afrikaans,callused,4.2,vasgekallus,callused,72,TRUE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,af callused,NA,NA,NA
af,Afrikaans,frayed,-0.8,uitgerafelde,frayed,72,FALSE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af frayed,NA,NA,NA
af,Afrikaans,gelatinous,-4.2,gelatienagtige,gelatinous,72,FALSE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,af gelatinous,NA,NA,NA
af,Afrikaans,creamy,-4.8,romerige,creamy,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,af creamy,NA,NA,NA
af,Afrikaans,varnished,-3.7,verniste,varnished,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,af varnished,NA,NA,NA
af,Afrikaans,flat,-2.7,plat,flat,72,FALSE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,af flat,NA,NA,NA
af,Afrikaans,etched,2.8,geëts,etched,72,TRUE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af etched,NA,NA,NA
af,Afrikaans,slimy,-5.2,slymerige,slimy,72,FALSE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,af slimy,NA,NA,NA
af,Afrikaans,oily,-6.2,olierige,oily,72,FALSE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af oily,NA,NA,NA
af,Afrikaans,crumbly,3.2,krummelrige,crumbly,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,af crumbly,NA,NA,NA
af,Afrikaans,papery,-3.2,papieragtige,papery,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,af papery,NA,NA,NA
af,Afrikaans,perforated,0.4,geperforeerde,perforated,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,af perforated,NA,NA,NA
af,Afrikaans,scaly,1.9,skubberige,scaly,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,af scaly,NA,NA,NA
af,Afrikaans,dusty,-0.8,stowwerige,dusty,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af dusty,NA,NA,NA
af,Afrikaans,gluey,-2.9,lijmerig,gluey,72,FALSE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,af gluey,NA,NA,NA
af,Afrikaans,gooey,-4.9,slissend,gooey,72,FALSE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,af gooey,NA,NA,NA
af,Afrikaans,crinkled,2.4,geriffel,crinkled,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af crinkled,NA,NA,NA
af,Afrikaans,cracked,3.5,gekraak,cracked,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,af cracked,NA,NA,NA
af,Afrikaans,brassy,-2.3,onbeschaamd,brassy,72,FALSE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,af brassy,NA,NA,NA
af,Afrikaans,ragged,3.3,verskeurde,ragged,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,af ragged,NA,NA,NA
af,Afrikaans,fibrous,2.3,veselagtige,fibrous,72,TRUE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af fibrous,NA,NA,NA
af,Afrikaans,silky,-5.9,syagtige,silky,72,FALSE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af silky,NA,NA,NA
af,Afrikaans,bristly,4.4,borselagtige,bristly,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,af bristly,NA,NA,NA
af,Afrikaans,rocky,4.8,rotsagtige,rocky,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af rocky,NA,NA,NA
af,Afrikaans,hairy,0,harige,hairy,72,TRUE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af hairy,NA,NA,NA
af,Afrikaans,woven,-0.2,geweef,woven,72,FALSE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af woven,NA,NA,NA
af,Afrikaans,prickly,5.2,stekelrige,prickly,72,TRUE,afr,r,l,TRUE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,af prickly,NA,NA,NA
af,Afrikaans,feathered,-4.6,geveer,feathered,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af feathered,NA,NA,NA
af,Afrikaans,thorny,5.8,netelige,thorny,72,TRUE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,af thorny,NA,NA,NA
af,Afrikaans,glassy,-4.3,glasagtige,glassy,72,FALSE,afr,r,l,FALSE,TRUE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af glassy,NA,NA,NA
af,Afrikaans,waxy,-3.6,wasagtige,waxy,72,FALSE,afr,r,l,FALSE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,af waxy,NA,NA,NA
af,Afrikaans,greasy,-5.1,vetterige,greasy,72,FALSE,afr,r,l,TRUE,FALSE,Germanic,Indo-European,S Africa,Africa,22,-31,t,(n$|n[^kg]),(s$|s[^j]),k,m,p,b,d,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,af greasy,NA,NA,NA
ar,Arabic,velvety,-5.3,مخملي,velvety,62,FALSE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar velvety,NA,NA,NA
ar,Arabic,frizzy,0.6,جعد,frizzy,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar frizzy,NA,NA,NA
ar,Arabic,fuzzy,-1.6,أجعد,fuzzy,62,FALSE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar fuzzy,NA,NA,NA
ar,Arabic,ribbed,3.4,مضلع,ribbed,62,TRUE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar ribbed,NA,NA,NA
ar,Arabic,stubbly,5,مكسو بالخذامة,stubbly,62,TRUE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar stubbly,NA,NA,NA
ar,Arabic,bubbly,-3.3,شمبانيا,bubbly,62,FALSE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar bubbly,NA,NA,NA
ar,Arabic,abrasive,6.3,كاشط,abrasive,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar abrasive,NA,NA,NA
ar,Arabic,bony,2.5,عظمي,bony,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar bony,NA,NA,NA
ar,Arabic,slippery,-6.2,زلق,slippery,62,FALSE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar slippery,NA,NA,NA
ar,Arabic,lumpy,2.9,محفر,lumpy,62,TRUE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar lumpy,NA,NA,NA
ar,Arabic,knobby,2.6,كثير العقد,knobby,62,TRUE,arb,ر,ل,TRUE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar knobby,NA,NA,NA
ar,Arabic,wooden,1.3,خشبي,wooden,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar wooden,NA,NA,NA
ar,Arabic,metallic,-1.9,معدني,metallic,62,FALSE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar metallic,NA,NA,NA
ar,Arabic,polished,-5.3,مصقول,polished,62,FALSE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar polished,NA,NA,NA
ar,Arabic,fine,-5.2,غرامة,fine,62,FALSE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar fine,NA,NA,NA
ar,Arabic,serrated,4,مسنن,serrated,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar serrated,NA,NA,NA
ar,Arabic,bumpy,3.3,وعر,bumpy,62,TRUE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar bumpy,NA,NA,NA
ar,Arabic,crumpled,3.1,تكوم,crumpled,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar crumpled,NA,NA,NA
ar,Arabic,sandy,3.9,رملي,sandy,62,TRUE,arb,ر,ل,TRUE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar sandy,NA,NA,NA
ar,Arabic,pebbly,3.8,محصب,pebbly,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar pebbly,NA,NA,NA
ar,Arabic,ceramic,-2.5,سيراميك,ceramic,62,FALSE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar ceramic,NA,NA,NA
ar,Arabic,crusty,2.9,قشري,crusty,62,TRUE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar crusty,NA,NA,NA
ar,Arabic,gelatinous,-4.2,هلامي,gelatinous,62,FALSE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar gelatinous,NA,NA,NA
ar,Arabic,bald,-4.1,أصلع,bald,62,FALSE,arb,ر,ل,FALSE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar bald,NA,NA,NA
ar,Arabic,creamy,-4.8,دسم,creamy,62,FALSE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar creamy,NA,NA,NA
ar,Arabic,chalky,-1.1,طباشيري,chalky,62,FALSE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar chalky,NA,NA,NA
ar,Arabic,flat,-2.7,مسطحة,flat,62,FALSE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar flat,NA,NA,NA
ar,Arabic,etched,2.8,محفورا,etched,62,TRUE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar etched,NA,NA,NA
ar,Arabic,slimy,-5.2,غروي,slimy,62,FALSE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar slimy,NA,NA,NA
ar,Arabic,harsh,5.5,قاس,harsh,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar harsh,NA,NA,NA
ar,Arabic,lubricated,-6.2,مشحم,lubricated,62,FALSE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar lubricated,NA,NA,NA
ar,Arabic,perforated,0.4,مثقب,perforated,62,TRUE,arb,ر,ل,FALSE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar perforated,NA,NA,NA
ar,Arabic,scaly,1.9,متقشر,scaly,62,TRUE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar scaly,NA,NA,NA
ar,Arabic,dusty,-0.8,مغبر,dusty,62,FALSE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar dusty,NA,NA,NA
ar,Arabic,brassy,-2.3,البراسية عصا غولف نحاسية,brassy,62,FALSE,arb,ر,ل,TRUE,TRUE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar brassy,NA,NA,NA
ar,Arabic,rugged,4,وعر، خشن، قاس,rugged,62,TRUE,arb,ر,ل,TRUE,FALSE,West Semitic,Semitic,N Africa,Africa,31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ar rugged,NA,NA,NA
