Language,ISO_code,Phoible_code,Meaning,Form,Trill,Dataset,Latitude,Longitude,Family,Branch,Area,Continent,Rough.M,rough,R_type,r,l
Afrikaans,afr,afr,creamy,romerige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-4.8,FALSE,trill,TRUE,FALSE
Afrikaans,afr,afr,varnished,verniste,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-3.7,FALSE,trill,TRUE,FALSE
Afrikaans,afr,afr,flat,plat,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-2.7,FALSE,trill,FALSE,TRUE
Afrikaans,afr,afr,etched,geëts,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.8,TRUE,trill,FALSE,FALSE
Afrikaans,afr,afr,slimy,slymerige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-5.2,FALSE,trill,TRUE,TRUE
Afrikaans,afr,afr,oily,olierige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-6.2,FALSE,trill,TRUE,TRUE
Afrikaans,afr,afr,crumbly,krummelrige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.2,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,papery,papieragtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-3.2,FALSE,trill,TRUE,FALSE
Afrikaans,afr,afr,perforated,geperforeerde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,0.4,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,scaly,skubberige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,1.9,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,dusty,stowwerige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-0.8,FALSE,trill,TRUE,FALSE
Afrikaans,afr,afr,gluey,lijmerig,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-2.9,FALSE,trill,TRUE,TRUE
Afrikaans,afr,afr,gooey,slissend,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-4.9,FALSE,trill,FALSE,TRUE
Afrikaans,afr,afr,crinkled,geriffel,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.4,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,cracked,gekraak,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.5,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,brassy,onbeschaamd,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-2.3,FALSE,trill,FALSE,FALSE
Afrikaans,afr,afr,ragged,verskeurde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.3,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,fibrous,veselagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.3,TRUE,trill,FALSE,TRUE
Afrikaans,afr,afr,silky,syagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-5.9,FALSE,trill,FALSE,FALSE
Afrikaans,afr,afr,bristly,borselagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,4.4,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,rocky,rotsagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,4.8,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,hairy,harige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,0,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,woven,geweef,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-0.2,FALSE,trill,FALSE,FALSE
Afrikaans,afr,afr,prickly,stekelrige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,5.2,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,feathered,geveer,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-4.6,FALSE,trill,TRUE,FALSE
Afrikaans,afr,afr,thorny,netelige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,5.8,TRUE,trill,FALSE,TRUE
Afrikaans,afr,afr,glassy,glasagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-4.3,FALSE,trill,FALSE,TRUE
Afrikaans,afr,afr,waxy,wasagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-3.6,FALSE,trill,FALSE,FALSE
Afrikaans,afr,afr,greasy,vetterige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-5.1,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,velvety,مخملي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-5.3,FALSE,trill,FALSE,TRUE
Arabic,arb,arz,frizzy,جعد,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,0.6,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,fuzzy,أجعد,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-1.6,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,ribbed,مضلع,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,3.4,TRUE,trill,FALSE,TRUE
Arabic,arb,arz,stubbly,مكسو بالخذامة,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,5,TRUE,trill,FALSE,TRUE
Arabic,arb,arz,bubbly,شمبانيا,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-3.3,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,abrasive,كاشط,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,6.3,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,bony,عظمي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,2.5,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,slippery,زلق,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-6.2,FALSE,trill,FALSE,TRUE
Arabic,arb,arz,lumpy,محفر,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,2.9,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,knobby,كثير العقد,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,2.6,TRUE,trill,TRUE,TRUE
Arabic,arb,arz,wooden,خشبي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,1.3,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,metallic,معدني,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-1.9,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,polished,مصقول,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-5.3,FALSE,trill,FALSE,TRUE
Arabic,arb,arz,fine,غرامة,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-5.2,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,serrated,مسنن,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,4,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,bumpy,وعر,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,3.3,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,crumpled,تكوم,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,3.1,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,sandy,رملي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,3.9,TRUE,trill,TRUE,TRUE
Arabic,arb,arz,pebbly,محصب,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,3.8,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,ceramic,سيراميك,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-2.5,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,crusty,قشري,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,2.9,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,gelatinous,هلامي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-4.2,FALSE,trill,FALSE,TRUE
Arabic,arb,arz,bald,أصلع,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-4.1,FALSE,trill,FALSE,TRUE
Arabic,arb,arz,creamy,دسم,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-4.8,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,chalky,طباشيري,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-1.1,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,flat,مسطحة,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-2.7,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,etched,محفورا,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,2.8,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,slimy,غروي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-5.2,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,harsh,قاس,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,5.5,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,lubricated,مشحم,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-6.2,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,perforated,مثقب,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,0.4,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,scaly,متقشر,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,1.9,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,dusty,مغبر,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-0.8,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,brassy,البراسية عصا غولف نحاسية,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-2.3,FALSE,trill,TRUE,TRUE
Arabic,arb,arz,rugged,وعر، خشن، قاس,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,4,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,crisp,هش,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,2,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,silky,حريري,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-5.9,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,rocky,صخري,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,4.8,TRUE,trill,TRUE,FALSE
Arabic,arb,arz,barbed,شائك,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,6.3,TRUE,trill,FALSE,FALSE
Arabic,arb,arz,hairy,كثير الشعر,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,0,TRUE,trill,TRUE,TRUE
Arabic,arb,arz,furry,فروي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-2.8,FALSE,trill,TRUE,FALSE
Arabic,arb,arz,waxy,شمعي,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-3.6,FALSE,trill,FALSE,FALSE
Arabic,arb,arz,greasy,دهني,yes,Google,30,31,Semitic,West Semitic,N Africa,Africa,-5.1,FALSE,trill,FALSE,FALSE
Azeerbaijani,aze,azj,grooved,yivli,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,1.7,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,velvety,məxməri,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-5.3,FALSE,no trill,TRUE,FALSE
Azeerbaijani,aze,azj,fuzzy,qeyri-səlis,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-1.6,FALSE,no trill,TRUE,TRUE
Azeerbaijani,aze,azj,abrasive,aşındırıcı,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,6.3,TRUE,no trill,TRUE,FALSE
Azeerbaijani,aze,azj,slippery,sürüşkən,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-6.2,FALSE,no trill,TRUE,FALSE
Azeerbaijani,aze,azj,rough,kobud,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,6.2,TRUE,no trill,FALSE,FALSE
Azeerbaijani,aze,azj,textured,dokulu,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.8,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,wooden,taxta,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,1.3,TRUE,no trill,FALSE,FALSE
Azeerbaijani,aze,azj,polished,cilalanmışdır,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-5.3,FALSE,no trill,TRUE,TRUE
Azeerbaijani,aze,azj,painted,boyalı,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-3,FALSE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,woolly,yünlü,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,beaded,boncuklu,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,3,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,sandy,qumlu,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,3.9,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,icy,buzlu,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-4.3,FALSE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,ceramic,keramika,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-2.5,FALSE,no trill,TRUE,FALSE
Azeerbaijani,aze,azj,flat,düz,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-2.7,FALSE,no trill,FALSE,FALSE
Azeerbaijani,aze,azj,perforated,perforasiya edilmiş,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.4,TRUE,no trill,TRUE,TRUE
Azeerbaijani,aze,azj,dusty,tozlu,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-0.8,FALSE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,cracked,çatladı,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,3.5,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,fibrous,lifli,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,2.3,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,smooth,hamar,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-6.9,FALSE,no trill,TRUE,FALSE
Azeerbaijani,aze,azj,rocky,qayalı,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,4.8,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,hairy,tüklü,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0,TRUE,no trill,FALSE,TRUE
Azeerbaijani,aze,azj,woven,toxunmuşdur,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-0.2,FALSE,no trill,TRUE,FALSE
Azeerbaijani,aze,azj,blunt,künt,no,Google,40.5,48.5,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.5,TRUE,no trill,FALSE,FALSE
Belarusian,bel,bel,ridged,коньковый,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.1,TRUE,NA,FALSE,FALSE
Belarusian,bel,bel,velvety,аксаміцісты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-5.3,FALSE,NA,FALSE,FALSE
Belarusian,bel,bel,ribbed,рабрысты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.4,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,abrasive,абразіўны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,6.3,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,bony,кашчавы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,2.5,TRUE,NA,FALSE,FALSE
Belarusian,bel,bel,slippery,слізкі,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-6.2,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,rough,грубы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,6.2,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,textured,тэкстураваных,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,0.8,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,polished,паліраваны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-5.3,FALSE,NA,TRUE,TRUE
Belarusian,bel,bel,painted,афарбаваны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-3,FALSE,NA,TRUE,FALSE
Belarusian,bel,bel,serrated,вышчэрблены,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,4,TRUE,NA,TRUE,TRUE
Belarusian,bel,bel,woolly,шарсцісты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,0,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,crinkly,маршчыністы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,2.7,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,crumpled,пакамячаную,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.1,TRUE,NA,FALSE,FALSE
Belarusian,bel,bel,sandy,пяшчаны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.9,TRUE,NA,FALSE,FALSE
Belarusian,bel,bel,scratchy,калючы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,5,TRUE,NA,FALSE,TRUE
Belarusian,bel,bel,pebbly,пакрыты галькай,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.8,TRUE,NA,TRUE,TRUE
Belarusian,bel,bel,firm,фірма,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,4.2,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,ceramic,керамічны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-2.5,FALSE,NA,TRUE,FALSE
Belarusian,bel,bel,gelatinous,сцюдзяністы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-4.2,FALSE,NA,FALSE,FALSE
Belarusian,bel,bel,bald,пляшывы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-4.1,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,creamy,сметанковы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-4.8,FALSE,NA,FALSE,FALSE
Belarusian,bel,bel,varnished,лакаваны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-3.7,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,holey,дзіравы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,2,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,grimy,мурзаты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-1.2,FALSE,NA,TRUE,FALSE
Belarusian,bel,bel,oily,масляністы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-6.2,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,crumbly,рассыпісты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.2,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,perforated,перфараваны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,0.4,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,scaly,лускаваты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,1.9,TRUE,NA,FALSE,TRUE
Belarusian,bel,bel,dusty,пыльны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-0.8,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,ragged,абарваны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.3,TRUE,NA,TRUE,FALSE
Belarusian,bel,bel,scrunchy,гумка для валасоў,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,0.6,TRUE,NA,FALSE,TRUE
Belarusian,bel,bel,fibrous,кудзелісты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,2.3,TRUE,NA,FALSE,TRUE
Belarusian,bel,bel,silky,шаўкавісты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-5.9,FALSE,NA,FALSE,FALSE
Belarusian,bel,bel,satiny,атл`асный,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-5.3,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,smooth,гладкі,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-6.9,FALSE,NA,FALSE,TRUE
Belarusian,bel,bel,bristly,шчаціністы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,4.4,TRUE,NA,FALSE,FALSE
Belarusian,bel,bel,rocky,скалісты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,4.8,TRUE,NA,FALSE,TRUE
Belarusian,bel,bel,hairy,валасаты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,0,TRUE,NA,FALSE,TRUE
Belarusian,bel,bel,furry,пухнаты,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-2.8,FALSE,NA,FALSE,FALSE
Belarusian,bel,bel,woven,тканы,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-0.2,FALSE,NA,FALSE,FALSE
Belarusian,bel,bel,greasy,сальны,yes,Google,54,28,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-5.1,FALSE,NA,FALSE,TRUE
Bulgarian,bul,bul,abrasive,абразив,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,6.3,TRUE,trill,TRUE,FALSE
Bulgarian,bul,bul,slippery,хлъзгав,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,-6.2,FALSE,trill,FALSE,TRUE
Bulgarian,bul,bul,rough,груб,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,6.2,TRUE,trill,TRUE,FALSE
Bulgarian,bul,bul,jagged,назъбен,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,6.3,TRUE,trill,FALSE,FALSE
Bulgarian,bul,bul,textured,текстуриран,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,0.8,TRUE,trill,TRUE,FALSE
Bulgarian,bul,bul,wooden,дървен,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,1.3,TRUE,trill,TRUE,FALSE
Bulgarian,bul,bul,metallic,метален,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,-1.9,FALSE,trill,FALSE,TRUE
Bulgarian,bul,bul,polished,полиран,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,-5.3,FALSE,trill,TRUE,TRUE
Bulgarian,bul,bul,painted,боядисан,yes,Google,42.5,25,Indo-European,Balto-Slavic,Europe,W and SW Eurasia,-3,FALSE,trill,FALSE,FALSE
